団体コード,団体名,powered_by,パッケージリストのURI,PDFサンプルデータURI,サイトのURL,備考
380008,愛媛県,CKAN,https://www.pref.ehime.jp/opendata-catalog/api/package_list,https://www.pref.ehime.jp/opendata-catalog/dataset/2390/resource/12191/01.38_%E6%A8%99%E6%BA%96%E9%9B%86%E8%A8%88%E8%A1%A8%EF%BC%88%E8%A1%A81%EF%BD%9E%E8%A1%A811%EF%BC%892019%E5%B9%B4%E7%BD%B9%E6%82%A3%E9%9B%86%E8%A8%88.pdf,https://www.pref.ehime.jp/opendata-catalog/,
390003,高知県,CMS,,,http://www.pref.kochi.lg.jp/opendata/,
400009,福岡県,CKAN,https://ckan.open-governmentdata.org//api/3/action/package_search?q=organization:fukuoka-pref,https://ckan.open-governmentdata.org/dataset/132e28e0-17fa-42fb-87ee-0e06092ee6a7/resource/cdf55a04-f0e9-4c51-87fc-0730bb9cc766/download/5.pdf,https://www.open-governmentdata.org/fukuoka-pref/,
410004,佐賀県,BODIK,https://data.bodik.jp/api/3/action/package_search?q=organization:410004,https://data.bodik.jp/dataset/53845ca0-b457-470d-a6bb-0f30410b95ef/resource/315c2bd1-e51a-4c65-b6c4-95c591f29144/download/446_.pdf,http://odcs.bodik.jp/410004/,
420000,長崎県,BODIK,https://data.bodik.jp/api/3/action/package_search?q=organization:420000,https://data.bodik.jp/dataset/ef822df7-5a3f-468a-b86a-313147b617e3/resource/97d3800f-d13e-48f0-80da-6a8dc8b3a5cd/download/r4_anzenuntenkanrisha_senninjigyousho.pdf,http://odcs.bodik.jp/420000/,
430005,熊本県,BODIK,https://data.bodik.jp/api/3/action/package_search?q=organization:430005,https://data.bodik.jp/dataset/3313ed4a-8e3e-4e5e-9294-f73b058e001a/resource/508468e4-8f4d-44ef-9b87-312ba7467c2c/download/230308__04.4.1.pdf,https://odcs.bodik.jp/430005/,
440001,大分県,BODIK,https://data.bodik.jp/api/3/action/package_search?q=organization:440001,https://data.bodik.jp/dataset/48b0b029-454a-495d-99d7-4a9515d74ce5/resource/865c59db-43bd-422b-94bb-a604b0b76aa1/download/1-4.pdf,https://odcs.bodik.jp/440001/,
450006,宮崎県,BODIK,https://data.bodik.jp/api/3/action/package_search?q=organization:450006,,https://odcs.bodik.jp/450006/,
460001,鹿児島県,BODIK,https://data.bodik.jp/api/3/action/package_search?q=organization:460001,https://data.bodik.jp/dataset/be7c3723-9d67-4f90-a86a-0594c55c15b5/resource/d38d3ac3-842a-4c51-a7ec-e2ccdfbb43aa/download/nikyukasen.pdf,https://odcs.bodik.jp/460001/,
470007,沖縄県,BODIK,https://data.bodik.jp/api/3/action/package_search?q=organization:470007,,https://odcs.bodik.jp/470007/,
